名称,地区
洛浦县杭桂镇中心幼儿园,和田
洛浦县杭桂镇中心小学,和田
洛浦县杭桂镇英吾斯塘村金梦幼儿园,和田
洛浦县杭桂镇英吾斯塘小学,和田
杭桂镇英吾斯塘村,和田
洛浦县杭桂镇玉吉买勒克村金沙幼儿园,和田
杭桂镇玉吉买勒克村,和田
洛浦县杭桂镇赞木其艾日克村惠智幼儿园,和田
杭桂镇赞木其艾日克村,和田
洛浦县杭桂镇扎滚艾日克村金娇幼儿园,和田
洛浦县杭桂镇杂古泥艾热克小学,和田
杭桂镇扎滚艾日克村,和田
洛浦县洛浦镇阿恰勒村红领巾幼儿园,和田
洛浦镇阿恰勒村,和田
阿亚克恰帕勒村,和田
洛浦县洛浦镇中心幼儿园,和田
洛浦县洛浦镇中心小学,和田
洛浦县洛浦镇中学,和田
洛浦县洛浦镇巴什恰帕勒村蓝天幼儿园,和田
洛浦县洛浦镇恰帕里小学,和田
洛浦县洛浦镇博什坎村新苗幼儿园,和田
洛浦县洛浦镇博西坎小学,和田
洛浦镇博什坎村,和田
布拉克曲凯村委会,和田
洛浦县洛浦镇布拉克曲凯村源泉幼儿园,和田
洛浦县洛浦镇布拉克曲凯小学,和田
洛浦镇布拉克曲凯村,和田
洛浦县洛浦镇多鲁吐格曼贝希村起点幼儿园,和田
洛浦县洛浦镇塔合塔克吾热克小学,和田
洛浦镇多鲁吐格曼贝希村,和田
洛浦县洛浦镇多外特村幸福幼儿园,和田
洛浦县洛浦镇都瓦但小学,和田
康生个体诊所,和田
洛浦镇多外特村,和田
洛浦县第一中学,和田
洛浦县职业技术学校,和田
气象局,和田
洛浦县洛浦镇古木巴特村童馨幼儿园,和田
洛浦镇古木巴特村,和田
洛浦县洛浦镇合尼教学点,和田
洛浦镇合尼巴格村,和田
洛浦镇卫生院,和田
洛浦镇加依铁热克村委会,和田
洛浦镇克尔喀什村委会,和田
洛浦县洛浦镇克尔喀什村东方红幼儿园,和田
洛浦县洛浦镇克喀什学校,和田
洛浦镇库尔干村,和田
洛浦镇阔纳巴扎村,和田
洛浦县农业园区管委会新城幼儿园,和田
洛浦县洛浦镇恰帕勒兰干村红太阳幼儿园,和田
洛浦县洛浦镇兰格尔小学,和田
洛浦县洛浦镇英巴扎村新蕾幼儿园,和田
洛浦镇英巴扎村,和田
洛浦县纳瓦乡阿恰墩村春天幼儿园,和田
洛浦县纳瓦乡阿其东小学,和田
阿恰墩村委会,和田
洛浦县纳瓦乡阿亚格尕帕村如意幼儿园,和田
洛浦县纳瓦乡阿亚格尕怕小学,和田
阿亚格尕帕村委会,和田
洛浦县纳瓦乡巴什尕帕村彩霞幼儿园,和田
洛浦县纳瓦乡巴西尕怕小学,和田
巴什尕帕村委会,和田
洛浦县纳瓦乡博斯坦村卓越幼儿园,和田
洛浦县纳瓦乡巴什喀拉克尔村向党幼儿园,和田
洛浦县纳瓦乡巴西卡日克小学,和田
洛浦县纳瓦乡尕帕阿日希村白杨幼儿园,和田
洛浦县纳瓦乡尕怕阿日西小学,和田
尕帕阿日希村委会,和田
格加阿日希村委会,和田
纳瓦乡卫生院,和田
洛浦县纳瓦乡纳瓦村明星幼儿园,和田
民爱个体诊所,和田
洛浦县纳瓦乡中心幼儿园,和田
洛浦县纳瓦乡中心小学,和田
洛浦县纳瓦乡中学,和田
纳瓦喀哈那村委会,和田
纳瓦乡巴扎,和田
洛浦县纳瓦乡纳瓦库木巴格村红星幼儿园,和田
纳瓦库木巴格村委会,和田
洛浦县纳瓦乡诺布依村玉龙幼儿园,和田
诺布依村玉龙幼儿园,和田
洛浦县纳瓦乡托万喀拉克尔村丝绸幼儿园,和田
洛浦县纳瓦乡阿亚咔尔日克小学,和田
托万喀拉克尔村委会,和田
纳瓦乡英巴格村委会,和田
洛浦县恰尔巴格乡阿日买里村童真幼儿园,和田
洛浦县恰尔巴格乡阿亚格格加村玉泉幼儿园,和田
洛浦县恰尔巴格乡阿亚克萨依村文博幼儿园,和田
洛浦县恰尔巴格乡阿依丁库勒村童嘉幼儿园,和田
洛浦县恰尔巴格乡阿依定库里小学,和田
洛浦县恰尔巴格乡阿依玛克村翰林幼儿园,和田
洛浦县恰尔巴格乡阿依玛克小学,和田
洛浦县恰尔巴格乡第二中学,和田
恰尔巴格乡中心卫生院2分院,和田
洛浦县恰尔巴格乡奥克其村启睿幼儿园,和田
洛浦县恰尔巴格乡奥依拉村朝露幼儿园,和田
巴格艾日克村委会,和田
洛浦县恰尔巴格乡巴格艾日克村启慧幼儿园,和田
洛浦县恰尔巴格乡巴格艾热克小学,和田
洛浦县恰尔巴格乡努尔鲁克小学,和田
洛浦县恰尔巴格乡巴什格加村友谊幼儿园,和田
洛浦县恰尔巴格乡第一中学,和田
洛浦县恰尔巴格乡巴什库木艾日克村嘉禾幼儿园,和田
洛浦县恰尔巴克乡库木艾热克小学,和田
洛浦县恰尔巴格乡巴什皮切克其村牡丹幼儿园,和田
恰尔巴格乡巴什皮切克其村,和田
洛浦县恰尔巴格乡巴什苏尕克库木村腾飞幼儿园,和田
洛浦县恰尔巴格乡苏尕库木小学,和田
洛浦县恰尔巴格乡墩买里村朵乐幼儿园,和田
洛浦县恰尔巴格乡格加喀尔克村春蚕幼儿园,和田
洛浦县恰尔巴格乡格加小学,和田
洛浦县恰尔巴格乡古勒巴格村百花幼儿园,和田
洛浦县恰尔巴格乡古勒巴格小学,和田
洛浦县恰尔巴格乡吉米牙小学,和田
洛浦县恰尔巴格乡中心幼儿园,和田
洛浦县恰尔巴格乡中心小学,和田
幸光医院,和田
仁爱个体诊所,和田
恰尔巴格乡中心卫生院,和田
恰尔巴格乡巴扎,和田
洛浦县恰尔巴格乡喀鲁艾日克村欢乐幼儿园,和田
洛浦县恰尔巴格乡库库买提村博雅幼儿园,和田
洛浦县恰尔巴格乡库木巴格村沙柳幼儿园,和田
洛浦县恰尔巴格乡库木巴格学校,和田
恰尔巴格乡中心卫生院1分院,和田
洛浦县恰尔巴格乡库木兰干村智慧幼儿园,和田
洛浦县恰尔巴格乡库木兰干小学,和田
洛浦县恰尔巴格乡阔恰艾日克村春芽幼儿园,和田
洛浦县恰尔巴格乡阔恰克艾日克村启元幼儿园,和田
洛浦县玛丽艳开发区中学,和田
洛浦县恰尔巴格乡恰尔巴格村沙园幼儿园,和田
洛浦县恰尔巴格乡恰瓦克小学,和田
洛浦县恰尔巴格乡琼库勒贝希村蓓蕾幼儿园,和田
洛浦县恰尔巴格乡琼库里比西小学,和田
洛浦县恰尔巴格乡丘拉克铁热克村心连心幼儿园,和田
洛浦县恰尔巴格乡去来克提热克小学,和田
洛浦县恰尔巴格乡铁热克艾日克村绿洲幼儿园,和田
洛浦县恰尔巴格乡卡热克小学,和田
洛浦县恰尔巴格乡铁提尔巴格村恩茂幼儿园,和田
洛浦县恰尔巴克乡铁提瓦克小学,和田
洛浦县恰尔巴格乡吾斯塘村孔孟幼儿园,和田
民康个体诊所,和田
新生个体诊所,和田
洛浦县恰尔巴格乡吾斯塘乌其村涌泉幼儿园,和田
洛浦县恰尔巴格乡亚坎提村梦想幼儿园,和田
洛浦县恰尔巴格乡依勒达木艾日克村春雨幼儿园,和田
洛浦县山普鲁镇阿日买里村吉祥幼儿园,和田
阿日西村委会,和田
洛浦县山普鲁镇巴什艾日克村优悠幼儿园,和田
洛浦县山普鲁镇兰格尔小学,和田
洛浦县山普鲁镇阿亚格比孜里村雏鹰幼儿园,和田
洛浦县山普鲁镇莎玛里巴格小学,和田
洛浦县山普鲁镇阿亚格克依阔村慧星幼儿园,和田
洛浦县山普鲁镇阿亚克艾日克村,和田
洛浦县山普鲁镇阿依丁库勒村学文幼儿园,和田
洛浦县山普鲁镇阿依定库里小学,和田
洛浦县山普鲁镇巴什比孜里村培新幼儿园,和田
洛浦县山普鲁镇比孜里小学,和田
洛浦县山普鲁镇巴什克依阔村红山幼儿园,和田
洛浦县山普鲁镇英兰干村蒲公英幼儿园,和田
洛浦县山普鲁镇英兰格学校,和田
洛浦县山普鲁镇加依艾日克村昆玉幼儿园,和田
洛浦县山普鲁镇喀拉克尔村宝玉幼儿园,和田
洛浦县山普鲁镇卡拉克小学,和田
洛浦县山普鲁镇喀拉央塔克村玉水幼儿园,和田
洛浦县山普鲁镇卡拉延塔克小学,和田
洛浦县山普鲁镇克兰特村星火幼儿园,和田
洛浦县山普鲁镇恰合玛克小学,和田
洛浦县山普鲁镇库尔巴格村育苗幼儿园,和田
洛浦县山普鲁镇库尔巴格小学,和田
山普鲁镇库尔巴格村,和田
洛浦县山普鲁镇库木巴格村天山幼儿园,和田
洛浦县山普鲁镇阔其坎村湖泊幼儿园,和田
洛浦县山普鲁镇阔其干小学,和田
洛浦县山普鲁镇阔塔孜兰干村中山幼儿园,和田
洛浦县山普鲁镇库塔孜小学,和田
山普鲁镇阔塔孜兰干村委会,和田
洛浦县山普鲁镇兰干村丝路幼儿园,和田
洛浦县山普鲁镇巴士兰干小学,和田
洛浦县山普鲁镇欧吐拉比孜里村思源幼儿园,和田
洛浦县比孜里中学,和田
洛浦县山普鲁镇恰克玛克村心仪幼儿园,和田
洛浦县山普鲁镇色日克村忠诚幼儿园,和田
洛浦县山普鲁镇色热克小学,和田
洛浦县山普鲁镇中心幼儿园,和田
洛浦县山普鲁镇中心小学,和田
洛浦县山普鲁镇中学,和田
山普鲁镇卫生院,和田
山普鲁镇巴扎,和田
洛浦县山普鲁镇依勒达木村南山幼儿园,和田
洛浦县山普鲁镇克依阔口小学,和田
巴什兰干乡托喀依村委会,和田
尼雅公安检查站,和田
巴什兰干乡阿克萨日依村委会,和田
巴什兰干乡阿克萨日依村幼儿园,和田
巴什兰干乡奥依托格拉克村委会,和田
巴什兰干乡奥依托格拉克村幼儿园,和田
巴什兰干乡奥依托格拉克村小学,和田
巴什兰干乡巴什兰干村委会,和田
巴什兰干乡巴什兰干村幼儿园,和田
巴什兰干乡萨扎木村委会,和田
巴什兰干乡萨扎木村小学,和田
巴什兰干乡托格拉克瑞克村委会,和田
巴什兰干乡托格拉克瑞克村幼儿园,和田
巴什兰干乡托喀依村幼儿园,和田
布亚乡巴什苏勒瓦村委会,和田
布亚乡合热万村村委会,和田
布亚乡萨依村委会,和田
布亚乡苏盖提艾日克村委会,和田
布亚乡塔木其拉村委会,和田
布亚乡铁提尔村委会,和田
藏桂乡阿其卡西村委会,和田
藏桂乡布拉克村委会,和田
藏桂乡布拉克村幼儿园,和田
藏桂乡库勒艾日克村委会,和田
藏桂乡库勒艾日克村幼儿园,和田
藏桂乡库勒比西村委会,和田
藏桂乡库木博依村委会,和田
藏桂乡兰干村委会,和田
藏桂乡兰干村幼儿园,和田
藏桂乡兰干村分小学,和田
藏桂乡塔体让村委会,和田
藏桂乡塔体让村幼儿园,和田
藏桂乡亚博依村委会,和田
藏桂乡亚博依村幼儿园,和田
藏桂乡亚博依村分小学,和田
藏桂乡亚村委会,和田
藏桂乡亚村幼儿园,和田
藏桂乡亚村分小学,和田
藏桂乡亚曼亚农场村委会,和田
藏桂乡亚曼亚农场村幼儿园,和田
藏桂乡英其克艾日克村委会,和田
藏桂乡英其克艾日克村幼儿园,和田
藏桂乡英吾斯塘村委会,和田
安江巴格社区居委会,和田
古勒巴格社区居委会,和田
广电局,和田
洛浦县会务中心,和田
测试社区,和田
美居小区,和田
库拉买里社区居委会,和田
夏玛里巴格社区居委会,和田
英巴格社区居委会,和田
英巴扎社区居委会,和田
城镇街道办事处萨干社区拟办公点,和田
城镇街道办事处吾力曼拉社区居民委员会,和田
杜瓦镇都村村委会,和田
杜瓦镇都村小学,和田
杜瓦镇墩巴格村村委会,和田
杜瓦镇墩巴格村幼儿园,和田
杜瓦镇科台克力克村村委会,和田
杜瓦镇科台克力克村幼儿园,和田
杜瓦镇克太克里克村卡点,和田
杜瓦镇拉木斯村委会,和田
杜瓦镇拉木斯村夜市巴扎,和田
杜瓦镇欧尔那村村委会,和田
杜瓦镇欧尔那村幼儿园,和田
杜瓦镇硝尔鲁克村委会,和田
杜瓦镇硝尔鲁克幼儿园,和田
杜瓦镇硝尔鲁克村砖厂,和田
杜瓦镇硝尔鲁克村沙石料厂,和田
杜瓦镇硝尔鲁克村卡点,和田
杜瓦镇亚克尔村村委会,和田
杜瓦镇亚克尔村小学,和田
杜瓦镇玉山社区巴扎,和田
固玛镇阿热亚村委会,和田
固玛镇阿热亚村小学,和田
固玛镇阿热亚村幼儿园,和田
固玛镇阿斯提阔什村委会,和田
固玛镇阿斯提阔什村小学,和田
固玛镇阿斯提阔什村幼儿园 ,和田
固玛镇博斯坦艾热克村幼儿园,和田
固玛镇博斯坦艾热克村委会,和田
固玛镇博斯坦托格拉克村小学,和田
固玛镇博斯坦托格拉克村委会,和田
固玛镇博斯坦托格拉克村幼儿园 ,和田
固玛镇菜其买里村和谐小区,和田
固玛镇菜其买里村委会,和田
固玛镇古勒巴格村委会,和田
固玛镇古勒克阿孜玛村委会,和田
固玛镇克其克亚村委会,和田
固玛镇克什拉克阿勒迪村委会,和田
固玛镇克什拉克阿勒迪村幼儿园,和田
固玛镇克什拉克阿勒迪村小学,和田
固玛镇阔纳巴扎村委会,和田
固玛镇尼向达村委会,和田
固玛镇欧图拉喀什村委会,和田
固玛镇欧图拉喀什村幼儿园 ,和田
固玛镇萨干村幼儿园,和田
固玛镇萨干村414号,和田
固玛镇散加村委会,和田
固玛镇色提日克村委会,和田
固玛镇色提日克村幼儿园,和田
固玛镇吐格曼贝希村委会,和田
固玛镇吐格曼贝希村幼儿园,和田
固玛镇吐格曼贝希村小学,和田
固玛镇吐木休克阿勒迪村委会,和田
固玛镇吐木休克阿勒迪村幼儿园,和田
固玛镇亚普泉村委会,和田
固玛镇亚普泉村幼儿园,和田
固玛镇依那克村委会,和田
固玛镇依提帕克村委会,和田
固玛镇英巴扎村委会,和田
固玛镇英巴扎村幼儿园,和田
康克尔乡康克尔村委会,和田
康克尔乡乌拉其村委会,和田
科克铁热克乡阿克欧吞村委会,和田
科克铁热克乡阿克欧吞村小学,和田
科克铁热克乡阿克欧吞村幼儿园,和田
科克铁热克乡阿木特勒克村委会,和田
科克铁热克乡阿木特勒克村委会幼儿园,和田
科克铁热克乡阿木特勒克村小学,和田
科克铁热克乡阿热库木村委会,和田
科克铁热克乡阿热库木村委会幼儿园,和田
科克铁热克乡阿热库木村小学,和田
科克铁热克乡阿热库木村砖厂,和田
科克铁热克乡阿热买里村委会,和田
科克铁热克乡阿热买里村小学,和田
科克铁热克乡阿热买里村幼儿园,和田
科克铁热克乡阿热买里村打馕店,和田
科克铁热克乡阿亚格亚村委会,和田
科克铁热克乡阿亚格亚村委会幼儿园,和田
科克铁热克乡阿亚格亚村小学,和田
科克铁热克乡巴扎亚村委会,和田
科克铁热克乡巴扎亚村委会幼儿园,和田
科克铁热克乡巴扎亚村小学,和田
科克铁热克乡巴扎亚村饭店,和田
科克铁热克乡拜勒库木村委会,和田
科克铁热克乡多兰买里村委会,和田
科克铁热克乡多兰买里村委会幼儿园,和田
科克铁热克乡多兰买里村小学,和田
科克铁热克乡喀尕买里村委会,和田
科克铁热克乡喀尕买里村小学,和田
科克铁热克乡科克塔格村委会,和田
科克铁热克乡科克塔格村委会幼儿园,和田
科克铁热克乡科克塔勒村委会,和田
科克铁热克乡科克铁热克村委会,和田
科克铁热克乡科克亚村委会,和田
科克铁热克乡科克亚村委会幼儿园,和田
科克铁热克乡科克亚村小学,和田
科克铁热克乡库木艾日克村委会,和田
科克铁热克乡库木艾日克村委会幼儿园,和田
科克铁热克乡库木艾日克村小学,和田
科克铁热克乡库木勒村委会,和田
科克铁热克乡库木勒村委会幼儿园,和田
科克铁热克乡库木勒村小学,和田
科克铁热克乡库木勒村养驴厂,和田
科克铁热克乡阔恰克玉吉买里克村委会,和田
科克铁热克乡阔恰克玉吉买里克村委会幼儿园,和田
科克铁热克乡拉依喀村委会,和田
科克铁热克乡拉依喀村委会幼儿园,和田
科克铁热克乡拉依喀村小学,和田
科克铁热克乡努尔巴格村委会,和田
科克铁热克乡欧地央村委会,和田
科克铁热克乡欧地央村委会幼儿园,和田
科克铁热克乡欧地央村小学,和田
科克铁热克乡帕特曼勒克村委会,和田
科克铁热克乡帕特曼勒克村小学,和田
科克铁热克乡帕特曼勒克村幼儿园,和田
科克铁热克乡萨依巴格村委会,和田
科克铁热克乡团结村委会,和田
科克铁热克乡托格拉克塔村委会,和田
科克铁热克乡托格拉克塔村委会幼儿园,和田
科克铁热克乡托格拉克塔村小学,和田
科克铁热克乡托格拉克塔村林业站,和田
科克铁热克乡托合玛可买里村小学,和田
科克铁热克乡托合玛克买里村委会,和田
科克铁热克乡托合玛克买里村委会幼儿园,和田
科克铁热克乡托普买里村委会,和田
科克铁热克乡托普买里村委会幼儿园,和田
科克铁热克乡托普买里村小学,和田
科克铁热克乡托万库木库勒村委会,和田
科克铁热克乡托万库木库勒村小学,和田
科克铁热克乡托万库木库勒村工厂,和田
科克铁热克乡央阿克勒克村委会,和田
科克铁热克乡央阿克勒克村委会幼儿园,和田
科克铁热克乡央阿克勒克村小学,和田
科克铁热克乡英阿亚提村委会,和田
科克铁热克乡英博斯坦村委会,和田
科克铁热克乡英坎特村委会,和田
科克铁热克乡英坎特村委会幼儿园,和田
科克铁热克乡英坎特村小学,和田
科克铁热克乡尤库日库木库勒村委会,和田
科克铁热克乡尤库日库木库勒村委会幼儿园,和田
科克铁热克乡尤库日库木库勒村小学,和田
克里阳乡阿格其克村委会,和田
克里阳乡阿格其克水管所,和田
克里阳乡阿克其克村幼儿园,和田
克里阳乡墩库勒村委会,和田
克里阳乡墩库勒村幼儿园,和田
克里阳乡喀热曼村委会,和田
克里阳乡喀热曼村幼儿园,和田
克里阳乡克里阳村委会,和田
克里阳乡塔和塔科瑞克村委会,和田
克里阳乡塔和塔科瑞克村木材卫星工厂,和田
克里阳乡托万恰喀村委会,和田
克里阳乡托万恰喀村卫星工厂,和田
克里阳乡亚开其克村委会,和田
克里阳乡亚开其克村幼儿园,和田
克里阳乡伊斯法罕村委会,和田
克里阳乡伊斯法罕分校,和田
克里阳乡尤勒滚加依村委会,和田
克里阳乡尤勒滚加依村养驴合作社,和田
克里阳乡尤勒滚加依村卫星工厂,和田
阔什塔格镇阿孜干阿勒迪村村委会,和田
阔什塔格镇巴什阿孜干村委会,和田
阔什塔格镇巴什阿孜干幼儿园,和田
阔什塔格镇博斯村委会,和田
阔什塔格镇加依纳古特村委会,和田
阔什塔格镇加依纳古特幼儿园,和田
阔什塔格镇加依纳古特小学,和田
阔什塔格镇喀热苏村委会,和田
阔什塔格镇喀热苏幼儿园,和田
阔什塔格镇喀热苏小学,和田
阔什塔格镇克什拉克村委会,和田
阔什塔格镇克什拉克村幼儿园,和田
阔什塔格镇克依克其村村委会,和田
阔什塔格镇花园克依克其幼儿园,和田
阔什塔格镇阔什塔格村委会,和田
阔什塔格镇其格勒克村委会,和田
阔什塔格镇苏盖特勒克村委会,和田
阔什塔格镇苏盖特勒克幼儿园，小学（共用一个门）,和田
阔什塔格镇苏勒尕孜村委会,和田
阔什塔格镇苏勒尕孜幼儿园,和田
阔什塔格镇铁热克阿勒迪村村委会,和田
阔什塔格镇铁热克阿勒迪幼儿园,和田
阔什塔格镇吐格曼博依村委会,和田
阔什塔格镇吐格曼博依幼儿园,和田
阔什塔格镇吾勒巴格村委会,和田
阔什塔格镇吾勒巴格幼儿园,和田
阔什塔格镇吾勒巴格小学,和田
洛浦镇欧吐拉博什坎村委会,和田
木吉镇阿热江尕勒村村委会,和田
木吉镇阿热江尕勒村小学,和田
木吉镇阿热江尕勒村幼儿园,和田
木吉镇阿萨尔村村委会,和田
木吉镇阿萨尔村小学,和田
木吉镇阿亚格巴格拉村村委会,和田
木吉镇阿亚格巴格拉村幼儿园,和田
木吉镇阿孜干巴格村村委会,和田
木吉镇阿孜干巴格村幼儿园,和田
木吉镇阿孜干巴格村夜市,和田
木吉镇巴格拉村村委会,和田
木吉镇巴格拉村小学,和田
木吉镇巴什巴格拉村村委会,和田
木吉镇巴什巴格拉村幼儿园,和田
木吉镇巴什铁热克村村委会,和田
木吉镇巴什铁热克村幼儿园,和田
木吉镇尕孜恰喀村村委会,和田
木吉镇尕孜恰喀村幼儿园,和田
木吉镇尕孜恰喀村夜市,和田
木吉镇汉吐格村村委会,和田
木吉镇汉吐格村幼儿园,和田
木吉镇阔纳巴扎村村委会,和田
木吉镇阔纳萨依巴格村村委会,和田
木吉镇阔纳萨依巴格村幼儿园,和田
木吉镇阔纳吐格曼村村委会,和田
木吉镇阔纳吐格曼村小学,和田
木吉镇兰干村村委会,和田
木吉镇兰干村幼儿园,和田
木吉镇龙尕村村委会,和田
木吉镇龙尕村小学,和田
木吉镇木吉村村委会,和田
木吉镇萨依巴格村村委会,和田
木吉镇萨依巴格村小学,和田
木吉镇萨依村村委会,和田
木吉镇萨依村幼儿园,和田
木吉镇英巴格村村委会,和田
木吉镇英巴格村小学,和田
木奎拉乡达里格村委会,和田
木奎拉乡达里格村小学,和田
木奎拉乡达里格村幼儿园,和田
木奎拉乡古勒巴格村委会,和田
木奎拉乡古勒巴格村幼儿园,和田
木奎拉乡霍依拉买里村委会,和田
木奎拉乡霍依拉买里幼儿园,和田
木奎拉乡喀合夏勒村委会,和田
木奎拉乡喀合夏勒村幼儿园,和田
木奎拉乡康达库勒村委会,和田
木奎拉乡库木艾日克村委会,和田
木奎拉乡阔纳巴扎村委会,和田
木奎拉乡阔纳巴扎村幼儿园,和田
木奎拉乡阔向买里村委会,和田
木奎拉乡阔向买里幼儿园,和田
木奎拉乡兰干村委会,和田
木奎拉乡兰干村小学,和田
木奎拉乡兰干村幼儿园,和田
木奎拉乡木乃克买里村委会,和田
木奎拉乡木乃克买里小学,和田
木奎拉乡纳古特村委会,和田
木奎拉乡纳古特小学,和田
木奎拉乡吐孜鲁克村委会,和田
木奎拉乡托万买里村委会,和田
木奎拉乡托万买里村小学,和田
木奎拉乡依提帕克村委会,和田
木奎拉乡依提帕克村幼儿园,和田
纳瓦乡博斯坦村村委会,和田
纳瓦乡尕帕阿日希村村委会,和田
诺布依村委会,和田
安疆小区,和田
安疆小区,和田
开元小区,和田
皮西那乡阿亚格阿孜干村委会,和田
皮西那乡阿亚格阿孜干幼儿园,和田
皮西那乡巴什阿孜干村村委会,和田
皮西那乡布拉克贝希村委会,和田
皮西那乡加依托格拉克村委会,和田
皮西那乡皮西那村委会,和田
皮西那乡吾喀什村委会,和田
皮西那乡央塔克村委会,和田
皮亚勒玛乡加依塔什村村委会,和田
皮亚勒玛乡加依塔什村幼儿园,和田
皮亚勒玛乡加依塔石村卡点,和田
皮亚勒玛乡库木博依村村委会,和田
皮亚勒玛乡兰干库勒村村委会,和田
皮亚勒玛乡兰干库勒村分校,和田
皮亚勒玛乡石榴新村村委会,和田
皮亚勒玛乡石榴新村分校,和田
皮亚勒玛乡塔吾孜吾斯塘村村委会,和田
皮亚勒玛乡乌堂村村委会,和田
恰尔巴格乡吉米亚村委会,和田
恰尔巴格乡库库买提村委会,和田
乔达乡阿尔皮勒克村村委会,和田
乔达乡阿亚格乔达村村委会,和田
乔达乡阿亚格乔达村幼儿园,和田
乔达乡巴什布拉克村村委会,和田
乔达乡巴什布拉克村幼儿园,和田
乔达乡小学巴什布拉克村分校,和田
乔达乡巴什拉克比纳姆村村委会,和田
乔达乡巴什拉克比纳姆村幼儿园,和田
乔达乡古勒巴格村村委会,和田
乔达乡小学古勒巴格村分校,和田
乔达乡果拉村村委会委会,和田
乔达乡果拉村幼儿园,和田
乔达乡结依乃克村村委会,和田
乔达乡小学结依乃克村分校,和田
乔达乡结依乃克村种驴厂,和田
乔达乡结依乃克村托马日斯地毯厂,和田
乔达乡结依乃克村卡点,和田
乔达乡兰干村村委会,和田
乔达乡兰干村卡点,和田
乔达乡牧场巴士拉克村村委会,和田
乔达乡牧场巴士拉克村幼儿园,和田
乔达乡恰尔巴格村村委会,和田
乔达乡恰尔巴格村幼儿园,和田
乔达乡清泉社区百合提亚服装厂,和田
乔达乡色外特恰喀村村委会,和田
乔达乡色外提恰喀村依孜纳服装厂,和田
乔达乡色外提恰喀村阿皮日达食品加工厂,和田
乔达乡亚依勒干村村委会,和田
桑株镇阿克墩村村委会,和田
桑株镇阿克墩村幼儿园,和田
桑株镇阿克墩村红旗水电厂,和田
桑株镇阿克墩村水厂,和田
桑株镇阿亚格坡斯喀村委会,和田
桑株镇阿亚格坡斯喀村幼儿园,和田
桑株镇阿亚格萨瓦村村委会,和田
槡珠镇第二小学阿亚格萨瓦村分校,和田
桑株镇阿亚格萨瓦村幼儿园,和田
桑株镇艾日格勒村委会,和田
桑株镇艾日格勒村幼儿园,和田
桑株镇巴什坡斯喀村委会,和田
桑株镇巴什坡斯喀村小学,和田
桑株镇巴什坡斯喀村水厂,和田
桑株镇巴什萨瓦村委会,和田
桑株镇巴什萨瓦村幼儿园,和田
桑株镇巴什萨瓦村第二小学,和田
桑株镇巴什萨瓦村第二初中,和田
桑株镇巴斯喀克村村委会,和田
桑株镇巴斯喀克村小学,和田
桑株镇巴斯喀克村幼儿园,和田
桑株镇巴扎村委会,和田
桑株镇巴扎村幼儿园,和田
桑株镇墩巴格村村委会,和田
桑株镇墩恰喀村村委会,和田
桑株镇墩恰喀幼儿园,和田
桑株镇墩恰喀村小学,和田
桑株镇加依铁热克村村委会,和田
桑株镇加依铁热克村幼儿园,和田
桑株镇加依铁热克小学,和田
桑株镇喀尔墩村村委会,和田
桑株镇喀尔墩村幼儿园,和田
桑株镇库木艾格勒村委会,和田
桑株镇库木艾格勒村幼儿园,和田
桑株镇库木巴格村委会,和田
桑株镇库木巴格村幼儿园,和田
桑株镇库木巴格村小学,和田
桑株镇木尕拉村村委会,和田
桑株镇木尕拉村幼儿园,和田
桑株镇恰斯喀木村委会,和田
桑株镇恰斯喀木村小学,和田
桑株镇恰斯喀木村幼儿园,和田
桑株村村委会,和田
桑株村第一小学,和田
桑株村幼儿园,和田
桑株镇特热克恰喀村委会,和田
桑株镇托格热塔子滚村村委会,和田
桑株镇托格热塔子滚小学及幼儿园,和田
山普鲁镇阿亚格克依阔村委会,和田
山普鲁镇巴什比孜里村委会,和田
山普鲁镇博斯坦库勒村委会,和田
山普鲁镇加依艾克日村村委会,和田
山普鲁镇喀让古亚村委会,和田
山普鲁镇库木巴格村委会,和田
山普鲁镇色日克村委会,和田
塔吉克乡阿克肖尔村委会,和田
塔吉克乡阿克肖村幼儿园,和田
塔吉克乡阿克肖村供水站,和田
塔吉克乡阿克肖村执勤房,和田
塔吉克乡阿克肖村品尼区,和田
塔吉克乡布琼村委会,和田
塔吉克乡布琼村群众服务中心,和田
塔吉克乡布琼村警务室,和田
塔吉克乡康阿孜村委会,和田
塔吉克乡康阿孜村供水站,和田
古再小区,和田
爱华双子大夏,和田
阗美小区,和田
东山苑小区,和田
爱华小区,和田
木板桥小区,和田
天津小镇小区,和田
温馨家园小区,和田
昆仑小区,和田
广播站小区,和田
邮电局家属院,和田
石油公司家属院,和田
园丁小区,和田
朝阳社区二号小区,和田
盛世华庭,和田
国税局家属院,和田
七玉山小区,和田
玉都小区,和田
爱华高层小区,和田
建德小区,和田
人民银行,和田
党校,和田
神牛小区,和田
林业局小区,和田
教育局,和田
地税局家属院,和田
朝阳小区,和田
养路段小区,和田
运管局家属院,和田
福利院小区,和田
农行家属院,和田
人民银行家属楼,和田
建设花园小区,和田
工商局家属院,和田
团结小区,和田
财政局家属院,和田
玫瑰小区,和田
阗园小区,和田
百货公司家属院,和田
新世纪小区,和田
园丁高层小区,和田
检察院小区,和田
乡镇企业局小区,和田
新华书店家属院,和田
新华市场小区,和田
万森花园小区,塔城
8号警务站人脸抓拍机,塔城
城镇财政局路口人像识别,塔城
